|   Iteraciones |             a |            xm |             b |         f(xm) | Error             |
|             8 | -0.7812500000 | -0.7421875000 | -0.7421875000 |   0.337449    | 0.0390625         |
|             9 | -0.7812500000 | -0.7617187500 | -0.7617187500 |   0.15806     | 0.01953125        |
|            10 | -0.7812500000 | -0.7714843750 | -0.7714843750 |   0.0685736   | 0.009765625       |
|            11 | -0.7812500000 | -0.7763671875 | -0.7763671875 |   0.0238796   | 0.0048828125      |
|            12 | -0.7812500000 | -0.7788085938 | -0.7788085938 |   0.00154459  | 0.00244140625     |
|            13 | -0.7800292969 | -0.7800292969 | -0.7788085938 |  -0.00961993  | 0.001220703125    |
|            14 | -0.7794189453 | -0.7794189453 | -0.7788085938 |  -0.00403792  | 0.0006103515625   |
|            15 | -0.7791137695 | -0.7791137695 | -0.7788085938 |  -0.00124673  | 0.00030517578125  |
|            16 | -0.7791137695 | -0.7789611816 | -0.7789611816 |   0.000148915 | 0.000152587890625 |
|            17 | -0.7790374756 | -0.7790374756 | -0.7789611816 |  -0.000548909 | 7.62939453125e-05 |



Resultados del metodo de la biseccion
|   Iteraciones |             a |            xm |             b |         f(xm) | Error             |
|---------------|---------------|---------------|---------------|---------------|-------------------|
|             1 | -5.0000000000 |  0.0000000000 |  0.0000000000 |   8           |                   |
|             2 | -2.5000000000 | -2.5000000000 |  0.0000000000 | -18.875       | 2.5               |
|             3 | -1.2500000000 | -1.2500000000 |  0.0000000000 |  -4.26562     | 1.25              |
|             4 | -1.2500000000 | -0.6250000000 | -0.6250000000 |   1.42773     | 0.625             |
|             5 | -0.9375000000 | -0.9375000000 | -0.6250000000 |  -1.43726     | 0.3125            |
|             6 | -0.7812500000 | -0.7812500000 | -0.6250000000 |  -0.0207825   | 0.15625           |
|             7 | -0.7812500000 | -0.7031250000 | -0.7031250000 |   0.69804     | 0.078125          |
|             8 | -0.7812500000 | -0.7421875000 | -0.7421875000 |   0.337449    | 0.0390625         |
|             9 | -0.7812500000 | -0.7617187500 | -0.7617187500 |   0.15806     | 0.01953125        |
|            10 | -0.7812500000 | -0.7714843750 | -0.7714843750 |   0.0685736   | 0.009765625       |
|            11 | -0.7812500000 | -0.7763671875 | -0.7763671875 |   0.0238796   | 0.0048828125      |
|            12 | -0.7812500000 | -0.7788085938 | -0.7788085938 |   0.00154459  | 0.00244140625     |
|            13 | -0.7800292969 | -0.7800292969 | -0.7788085938 |  -0.00961993  | 0.001220703125    |
|            14 | -0.7794189453 | -0.7794189453 | -0.7788085938 |  -0.00403792  | 0.0006103515625   |
|            15 | -0.7791137695 | -0.7791137695 | -0.7788085938 |  -0.00124673  | 0.00030517578125  |
|            16 | -0.7791137695 | -0.7789611816 | -0.7789611816 |   0.000148915 | 0.000152587890625 |
|            17 | -0.7790374756 | -0.7790374756 | -0.7789611816 |  -0.000548909 | 7.62939453125e-05 |



Resultados del metodo de la biseccion para la funcion <lambda> del intervalo -0.7790374755859375 a -0.778961181640625, con una tolerancia de 0.0001 y un error de 7.62939453125e-05

|   Iteraciones |             a |            xm |             b |         f(xm) | Error             |
|---------------|---------------|---------------|---------------|---------------|-------------------|
|             1 | -5.0000000000 |  0.0000000000 |  0.0000000000 |   8           |                   |
|             2 | -2.5000000000 | -2.5000000000 |  0.0000000000 | -18.875       | 2.5               |
|             3 | -1.2500000000 | -1.2500000000 |  0.0000000000 |  -4.26562     | 1.25              |
|             4 | -1.2500000000 | -0.6250000000 | -0.6250000000 |   1.42773     | 0.625             |
|             5 | -0.9375000000 | -0.9375000000 | -0.6250000000 |  -1.43726     | 0.3125            |
|             6 | -0.7812500000 | -0.7812500000 | -0.6250000000 |  -0.0207825   | 0.15625           |
|             7 | -0.7812500000 | -0.7031250000 | -0.7031250000 |   0.69804     | 0.078125          |
|             8 | -0.7812500000 | -0.7421875000 | -0.7421875000 |   0.337449    | 0.0390625         |
|             9 | -0.7812500000 | -0.7617187500 | -0.7617187500 |   0.15806     | 0.01953125        |
|            10 | -0.7812500000 | -0.7714843750 | -0.7714843750 |   0.0685736   | 0.009765625       |
|            11 | -0.7812500000 | -0.7763671875 | -0.7763671875 |   0.0238796   | 0.0048828125      |
|            12 | -0.7812500000 | -0.7788085938 | -0.7788085938 |   0.00154459  | 0.00244140625     |
|            13 | -0.7800292969 | -0.7800292969 | -0.7788085938 |  -0.00961993  | 0.001220703125    |
|            14 | -0.7794189453 | -0.7794189453 | -0.7788085938 |  -0.00403792  | 0.0006103515625   |
|            15 | -0.7791137695 | -0.7791137695 | -0.7788085938 |  -0.00124673  | 0.00030517578125  |
|            16 | -0.7791137695 | -0.7789611816 | -0.7789611816 |   0.000148915 | 0.000152587890625 |
|            17 | -0.7790374756 | -0.7790374756 | -0.7789611816 |  -0.000548909 | 7.62939453125e-05 |



Resultados del metodo de la biseccion para la funcion <function <lambda> at 0x000001F9F81D4AE0> del intervalo -0.7790374755859375 a -0.778961181640625, con una tolerancia de 0.0001 y un error de 7.62939453125e-05

|   Iteraciones |             a |            xm |             b |         f(xm) | Error             |
|---------------|---------------|---------------|---------------|---------------|-------------------|
|             1 | -5.0000000000 |  0.0000000000 |  0.0000000000 |   8           |                   |
|             2 | -2.5000000000 | -2.5000000000 |  0.0000000000 | -18.875       | 2.5               |
|             3 | -1.2500000000 | -1.2500000000 |  0.0000000000 |  -4.26562     | 1.25              |
|             4 | -1.2500000000 | -0.6250000000 | -0.6250000000 |   1.42773     | 0.625             |
|             5 | -0.9375000000 | -0.9375000000 | -0.6250000000 |  -1.43726     | 0.3125            |
|             6 | -0.7812500000 | -0.7812500000 | -0.6250000000 |  -0.0207825   | 0.15625           |
|             7 | -0.7812500000 | -0.7031250000 | -0.7031250000 |   0.69804     | 0.078125          |
|             8 | -0.7812500000 | -0.7421875000 | -0.7421875000 |   0.337449    | 0.0390625         |
|             9 | -0.7812500000 | -0.7617187500 | -0.7617187500 |   0.15806     | 0.01953125        |
|            10 | -0.7812500000 | -0.7714843750 | -0.7714843750 |   0.0685736   | 0.009765625       |
|            11 | -0.7812500000 | -0.7763671875 | -0.7763671875 |   0.0238796   | 0.0048828125      |
|            12 | -0.7812500000 | -0.7788085938 | -0.7788085938 |   0.00154459  | 0.00244140625     |
|            13 | -0.7800292969 | -0.7800292969 | -0.7788085938 |  -0.00961993  | 0.001220703125    |
|            14 | -0.7794189453 | -0.7794189453 | -0.7788085938 |  -0.00403792  | 0.0006103515625   |
|            15 | -0.7791137695 | -0.7791137695 | -0.7788085938 |  -0.00124673  | 0.00030517578125  |
|            16 | -0.7791137695 | -0.7789611816 | -0.7789611816 |   0.000148915 | 0.000152587890625 |
|            17 | -0.7790374756 | -0.7790374756 | -0.7789611816 |  -0.000548909 | 7.62939453125e-05 |



Resultados del metodo de la biseccion para la funcion <function <lambda> at 0x000001F9F92F6020> del intervalo -5 a 5, con una tolerancia de 0.0001 y un error de 7.62939453125e-05

|   Iteraciones |             a |            xm |             b |         f(xm) | Error             |
|---------------|---------------|---------------|---------------|---------------|-------------------|
|             1 | -5.0000000000 |  0.0000000000 |  0.0000000000 |   8           |                   |
|             2 | -2.5000000000 | -2.5000000000 |  0.0000000000 | -18.875       | 2.5               |
|             3 | -1.2500000000 | -1.2500000000 |  0.0000000000 |  -4.26562     | 1.25              |
|             4 | -1.2500000000 | -0.6250000000 | -0.6250000000 |   1.42773     | 0.625             |
|             5 | -0.9375000000 | -0.9375000000 | -0.6250000000 |  -1.43726     | 0.3125            |
|             6 | -0.7812500000 | -0.7812500000 | -0.6250000000 |  -0.0207825   | 0.15625           |
|             7 | -0.7812500000 | -0.7031250000 | -0.7031250000 |   0.69804     | 0.078125          |
|             8 | -0.7812500000 | -0.7421875000 | -0.7421875000 |   0.337449    | 0.0390625         |
|             9 | -0.7812500000 | -0.7617187500 | -0.7617187500 |   0.15806     | 0.01953125        |
|            10 | -0.7812500000 | -0.7714843750 | -0.7714843750 |   0.0685736   | 0.009765625       |
|            11 | -0.7812500000 | -0.7763671875 | -0.7763671875 |   0.0238796   | 0.0048828125      |
|            12 | -0.7812500000 | -0.7788085938 | -0.7788085938 |   0.00154459  | 0.00244140625     |
|            13 | -0.7800292969 | -0.7800292969 | -0.7788085938 |  -0.00961993  | 0.001220703125    |
|            14 | -0.7794189453 | -0.7794189453 | -0.7788085938 |  -0.00403792  | 0.0006103515625   |
|            15 | -0.7791137695 | -0.7791137695 | -0.7788085938 |  -0.00124673  | 0.00030517578125  |
|            16 | -0.7791137695 | -0.7789611816 | -0.7789611816 |   0.000148915 | 0.000152587890625 |
|            17 | -0.7790374756 | -0.7790374756 | -0.7789611816 |  -0.000548909 | 7.62939453125e-05 |



Resultados del metodo de la biseccion para la funcion <function <lambda> at 0x000001F9F81D58A0> del intervalo -5 a 5, con una tolerancia de 0.0001|   Iteraciones |             a |            xm |             b |         f(xm) | Error             |
|---------------|---------------|---------------|---------------|---------------|-------------------|
|             1 | -5.0000000000 |  0.0000000000 |  0.0000000000 |   8           |                   |
|             2 | -2.5000000000 | -2.5000000000 |  0.0000000000 | -18.875       | 2.5               |
|             3 | -1.2500000000 | -1.2500000000 |  0.0000000000 |  -4.26562     | 1.25              |
|             4 | -1.2500000000 | -0.6250000000 | -0.6250000000 |   1.42773     | 0.625             |
|             5 | -0.9375000000 | -0.9375000000 | -0.6250000000 |  -1.43726     | 0.3125            |
|             6 | -0.7812500000 | -0.7812500000 | -0.6250000000 |  -0.0207825   | 0.15625           |
|             7 | -0.7812500000 | -0.7031250000 | -0.7031250000 |   0.69804     | 0.078125          |
|             8 | -0.7812500000 | -0.7421875000 | -0.7421875000 |   0.337449    | 0.0390625         |
|             9 | -0.7812500000 | -0.7617187500 | -0.7617187500 |   0.15806     | 0.01953125        |
|            10 | -0.7812500000 | -0.7714843750 | -0.7714843750 |   0.0685736   | 0.009765625       |
|            11 | -0.7812500000 | -0.7763671875 | -0.7763671875 |   0.0238796   | 0.0048828125      |
|            12 | -0.7812500000 | -0.7788085938 | -0.7788085938 |   0.00154459  | 0.00244140625     |
|            13 | -0.7800292969 | -0.7800292969 | -0.7788085938 |  -0.00961993  | 0.001220703125    |
|            14 | -0.7794189453 | -0.7794189453 | -0.7788085938 |  -0.00403792  | 0.0006103515625   |
|            15 | -0.7791137695 | -0.7791137695 | -0.7788085938 |  -0.00124673  | 0.00030517578125  |
|            16 | -0.7791137695 | -0.7789611816 | -0.7789611816 |   0.000148915 | 0.000152587890625 |
|            17 | -0.7790374756 | -0.7790374756 | -0.7789611816 |  -0.000548909 | 7.62939453125e-05 |



Resultados del metodo de la biseccion para la funcion <function <lambda> at 0x000001F9F92F5F80> del intervalo -5 a 5, con una tolerancia de 0.0001

|   Iteraciones |             a |            xm |             b |         f(xm) | Error             |
|---------------|---------------|---------------|---------------|---------------|-------------------|
|             1 | -5.0000000000 |  0.0000000000 |  0.0000000000 |   8           |                   |
|             2 | -2.5000000000 | -2.5000000000 |  0.0000000000 | -18.875       | 2.5               |
|             3 | -1.2500000000 | -1.2500000000 |  0.0000000000 |  -4.26562     | 1.25              |
|             4 | -1.2500000000 | -0.6250000000 | -0.6250000000 |   1.42773     | 0.625             |
|             5 | -0.9375000000 | -0.9375000000 | -0.6250000000 |  -1.43726     | 0.3125            |
|             6 | -0.7812500000 | -0.7812500000 | -0.6250000000 |  -0.0207825   | 0.15625           |
|             7 | -0.7812500000 | -0.7031250000 | -0.7031250000 |   0.69804     | 0.078125          |
|             8 | -0.7812500000 | -0.7421875000 | -0.7421875000 |   0.337449    | 0.0390625         |
|             9 | -0.7812500000 | -0.7617187500 | -0.7617187500 |   0.15806     | 0.01953125        |
|            10 | -0.7812500000 | -0.7714843750 | -0.7714843750 |   0.0685736   | 0.009765625       |
|            11 | -0.7812500000 | -0.7763671875 | -0.7763671875 |   0.0238796   | 0.0048828125      |
|            12 | -0.7812500000 | -0.7788085938 | -0.7788085938 |   0.00154459  | 0.00244140625     |
|            13 | -0.7800292969 | -0.7800292969 | -0.7788085938 |  -0.00961993  | 0.001220703125    |
|            14 | -0.7794189453 | -0.7794189453 | -0.7788085938 |  -0.00403792  | 0.0006103515625   |
|            15 | -0.7791137695 | -0.7791137695 | -0.7788085938 |  -0.00124673  | 0.00030517578125  |
|            16 | -0.7791137695 | -0.7789611816 | -0.7789611816 |   0.000148915 | 0.000152587890625 |
|            17 | -0.7790374756 | -0.7790374756 | -0.7789611816 |  -0.000548909 | 7.62939453125e-05 |



Resultados del metodo de la biseccion para la funcion <lambda> del intervalo -5 a 5, con una tolerancia de 0.0001

|   Iteraciones |             a |            xm |             b |         f(xm) | Error             |
|---------------|---------------|---------------|---------------|---------------|-------------------|
|             1 | -5.0000000000 |  0.0000000000 |  0.0000000000 |   8           |                   |
|             2 | -2.5000000000 | -2.5000000000 |  0.0000000000 | -18.875       | 2.5               |
|             3 | -1.2500000000 | -1.2500000000 |  0.0000000000 |  -4.26562     | 1.25              |
|             4 | -1.2500000000 | -0.6250000000 | -0.6250000000 |   1.42773     | 0.625             |
|             5 | -0.9375000000 | -0.9375000000 | -0.6250000000 |  -1.43726     | 0.3125            |
|             6 | -0.7812500000 | -0.7812500000 | -0.6250000000 |  -0.0207825   | 0.15625           |
|             7 | -0.7812500000 | -0.7031250000 | -0.7031250000 |   0.69804     | 0.078125          |
|             8 | -0.7812500000 | -0.7421875000 | -0.7421875000 |   0.337449    | 0.0390625         |
|             9 | -0.7812500000 | -0.7617187500 | -0.7617187500 |   0.15806     | 0.01953125        |
|            10 | -0.7812500000 | -0.7714843750 | -0.7714843750 |   0.0685736   | 0.009765625       |
|            11 | -0.7812500000 | -0.7763671875 | -0.7763671875 |   0.0238796   | 0.0048828125      |
|            12 | -0.7812500000 | -0.7788085938 | -0.7788085938 |   0.00154459  | 0.00244140625     |
|            13 | -0.7800292969 | -0.7800292969 | -0.7788085938 |  -0.00961993  | 0.001220703125    |
|            14 | -0.7794189453 | -0.7794189453 | -0.7788085938 |  -0.00403792  | 0.0006103515625   |
|            15 | -0.7791137695 | -0.7791137695 | -0.7788085938 |  -0.00124673  | 0.00030517578125  |
|            16 | -0.7791137695 | -0.7789611816 | -0.7789611816 |   0.000148915 | 0.000152587890625 |
|            17 | -0.7790374756 | -0.7790374756 | -0.7789611816 |  -0.000548909 | 7.62939453125e-05 |



Resultados del metodo de la biseccion para la funcion DeltaGenerator(_provided_cursor=LockedCursor(_index=28, _parent_path=(), _props={'delta_type': 'markdown', 'add_rows_metadata': None}), _parent=DeltaGenerator()) del intervalo -5 a 5, con una tolerancia de 0.0001

|   Iteraciones |             a |            xm |             b |         f(xm) | Error             |
|---------------|---------------|---------------|---------------|---------------|-------------------|
|             1 | -5.0000000000 |  0.0000000000 |  0.0000000000 |   8           |                   |
|             2 | -2.5000000000 | -2.5000000000 |  0.0000000000 | -18.875       | 2.5               |
|             3 | -1.2500000000 | -1.2500000000 |  0.0000000000 |  -4.26562     | 1.25              |
|             4 | -1.2500000000 | -0.6250000000 | -0.6250000000 |   1.42773     | 0.625             |
|             5 | -0.9375000000 | -0.9375000000 | -0.6250000000 |  -1.43726     | 0.3125            |
|             6 | -0.7812500000 | -0.7812500000 | -0.6250000000 |  -0.0207825   | 0.15625           |
|             7 | -0.7812500000 | -0.7031250000 | -0.7031250000 |   0.69804     | 0.078125          |
|             8 | -0.7812500000 | -0.7421875000 | -0.7421875000 |   0.337449    | 0.0390625         |
|             9 | -0.7812500000 | -0.7617187500 | -0.7617187500 |   0.15806     | 0.01953125        |
|            10 | -0.7812500000 | -0.7714843750 | -0.7714843750 |   0.0685736   | 0.009765625       |
|            11 | -0.7812500000 | -0.7763671875 | -0.7763671875 |   0.0238796   | 0.0048828125      |
|            12 | -0.7812500000 | -0.7788085938 | -0.7788085938 |   0.00154459  | 0.00244140625     |
|            13 | -0.7800292969 | -0.7800292969 | -0.7788085938 |  -0.00961993  | 0.001220703125    |
|            14 | -0.7794189453 | -0.7794189453 | -0.7788085938 |  -0.00403792  | 0.0006103515625   |
|            15 | -0.7791137695 | -0.7791137695 | -0.7788085938 |  -0.00124673  | 0.00030517578125  |
|            16 | -0.7791137695 | -0.7789611816 | -0.7789611816 |   0.000148915 | 0.000152587890625 |
|            17 | -0.7790374756 | -0.7790374756 | -0.7789611816 |  -0.000548909 | 7.62939453125e-05 |



Resultados del metodo de la biseccion para la funcion <lambda> del intervalo -5 a 5, con una tolerancia de 0.0001

|   Iteraciones |             a |            xm |             b |         f(xm) | Error             |
|---------------|---------------|---------------|---------------|---------------|-------------------|
|             1 | -5.0000000000 |  0.0000000000 |  0.0000000000 |   8           |                   |
|             2 | -2.5000000000 | -2.5000000000 |  0.0000000000 | -18.875       | 2.5               |
|             3 | -1.2500000000 | -1.2500000000 |  0.0000000000 |  -4.26562     | 1.25              |
|             4 | -1.2500000000 | -0.6250000000 | -0.6250000000 |   1.42773     | 0.625             |
|             5 | -0.9375000000 | -0.9375000000 | -0.6250000000 |  -1.43726     | 0.3125            |
|             6 | -0.7812500000 | -0.7812500000 | -0.6250000000 |  -0.0207825   | 0.15625           |
|             7 | -0.7812500000 | -0.7031250000 | -0.7031250000 |   0.69804     | 0.078125          |
|             8 | -0.7812500000 | -0.7421875000 | -0.7421875000 |   0.337449    | 0.0390625         |
|             9 | -0.7812500000 | -0.7617187500 | -0.7617187500 |   0.15806     | 0.01953125        |
|            10 | -0.7812500000 | -0.7714843750 | -0.7714843750 |   0.0685736   | 0.009765625       |
|            11 | -0.7812500000 | -0.7763671875 | -0.7763671875 |   0.0238796   | 0.0048828125      |
|            12 | -0.7812500000 | -0.7788085938 | -0.7788085938 |   0.00154459  | 0.00244140625     |
|            13 | -0.7800292969 | -0.7800292969 | -0.7788085938 |  -0.00961993  | 0.001220703125    |
|            14 | -0.7794189453 | -0.7794189453 | -0.7788085938 |  -0.00403792  | 0.0006103515625   |
|            15 | -0.7791137695 | -0.7791137695 | -0.7788085938 |  -0.00124673  | 0.00030517578125  |
|            16 | -0.7791137695 | -0.7789611816 | -0.7789611816 |   0.000148915 | 0.000152587890625 |
|            17 | -0.7790374756 | -0.7790374756 | -0.7789611816 |  -0.000548909 | 7.62939453125e-05 |



Resultados del metodo de la biseccion para la funcion DeltaGenerator(_provided_cursor=LockedCursor(_index=28, _parent_path=(), _props={'delta_type': 'markdown', 'add_rows_metadata': None}), _parent=DeltaGenerator()) del intervalo -5 a 5, con una tolerancia de 0.0001

|   Iteraciones |             a |            xm |             b |         f(xm) | Error             |
|---------------|---------------|---------------|---------------|---------------|-------------------|
|             1 | -5.0000000000 |  0.0000000000 |  0.0000000000 |   8           |                   |
|             2 | -2.5000000000 | -2.5000000000 |  0.0000000000 | -18.875       | 2.5               |
|             3 | -1.2500000000 | -1.2500000000 |  0.0000000000 |  -4.26562     | 1.25              |
|             4 | -1.2500000000 | -0.6250000000 | -0.6250000000 |   1.42773     | 0.625             |
|             5 | -0.9375000000 | -0.9375000000 | -0.6250000000 |  -1.43726     | 0.3125            |
|             6 | -0.7812500000 | -0.7812500000 | -0.6250000000 |  -0.0207825   | 0.15625           |
|             7 | -0.7812500000 | -0.7031250000 | -0.7031250000 |   0.69804     | 0.078125          |
|             8 | -0.7812500000 | -0.7421875000 | -0.7421875000 |   0.337449    | 0.0390625         |
|             9 | -0.7812500000 | -0.7617187500 | -0.7617187500 |   0.15806     | 0.01953125        |
|            10 | -0.7812500000 | -0.7714843750 | -0.7714843750 |   0.0685736   | 0.009765625       |
|            11 | -0.7812500000 | -0.7763671875 | -0.7763671875 |   0.0238796   | 0.0048828125      |
|            12 | -0.7812500000 | -0.7788085938 | -0.7788085938 |   0.00154459  | 0.00244140625     |
|            13 | -0.7800292969 | -0.7800292969 | -0.7788085938 |  -0.00961993  | 0.001220703125    |
|            14 | -0.7794189453 | -0.7794189453 | -0.7788085938 |  -0.00403792  | 0.0006103515625   |
|            15 | -0.7791137695 | -0.7791137695 | -0.7788085938 |  -0.00124673  | 0.00030517578125  |
|            16 | -0.7791137695 | -0.7789611816 | -0.7789611816 |   0.000148915 | 0.000152587890625 |
|            17 | -0.7790374756 | -0.7790374756 | -0.7789611816 |  -0.000548909 | 7.62939453125e-05 |



Resultados del metodo de la biseccion para la funcion x^3+3*x^2+12*x+8 del intervalo -5 a 5, con una tolerancia de 0.0001

|   Iteraciones |             a |            xm |             b |         f(xm) | Error             |
|---------------|---------------|---------------|---------------|---------------|-------------------|
|             1 | -5.0000000000 |  0.0000000000 |  0.0000000000 |   8           |                   |
|             2 | -2.5000000000 | -2.5000000000 |  0.0000000000 | -18.875       | 2.5               |
|             3 | -1.2500000000 | -1.2500000000 |  0.0000000000 |  -4.26562     | 1.25              |
|             4 | -1.2500000000 | -0.6250000000 | -0.6250000000 |   1.42773     | 0.625             |
|             5 | -0.9375000000 | -0.9375000000 | -0.6250000000 |  -1.43726     | 0.3125            |
|             6 | -0.7812500000 | -0.7812500000 | -0.6250000000 |  -0.0207825   | 0.15625           |
|             7 | -0.7812500000 | -0.7031250000 | -0.7031250000 |   0.69804     | 0.078125          |
|             8 | -0.7812500000 | -0.7421875000 | -0.7421875000 |   0.337449    | 0.0390625         |
|             9 | -0.7812500000 | -0.7617187500 | -0.7617187500 |   0.15806     | 0.01953125        |
|            10 | -0.7812500000 | -0.7714843750 | -0.7714843750 |   0.0685736   | 0.009765625       |
|            11 | -0.7812500000 | -0.7763671875 | -0.7763671875 |   0.0238796   | 0.0048828125      |
|            12 | -0.7812500000 | -0.7788085938 | -0.7788085938 |   0.00154459  | 0.00244140625     |
|            13 | -0.7800292969 | -0.7800292969 | -0.7788085938 |  -0.00961993  | 0.001220703125    |
|            14 | -0.7794189453 | -0.7794189453 | -0.7788085938 |  -0.00403792  | 0.0006103515625   |
|            15 | -0.7791137695 | -0.7791137695 | -0.7788085938 |  -0.00124673  | 0.00030517578125  |
|            16 | -0.7791137695 | -0.7789611816 | -0.7789611816 |   0.000148915 | 0.000152587890625 |
|            17 | -0.7790374756 | -0.7790374756 | -0.7789611816 |  -0.000548909 | 7.62939453125e-05 |



Resultados del metodo de la biseccion para la funcion DeltaGenerator(_provided_cursor=LockedCursor(_index=39, _parent_path=(), _props={'delta_type': 'markdown', 'add_rows_metadata': None}), _parent=DeltaGenerator()) del intervalo -5 a 5, con una tolerancia de 0.0001

|   Iteraciones |             a |            xm |             b |         f(xm) | Error             |
|---------------|---------------|---------------|---------------|---------------|-------------------|
|             1 | -5.0000000000 |  0.0000000000 |  0.0000000000 |   8           |                   |
|             2 | -2.5000000000 | -2.5000000000 |  0.0000000000 | -18.875       | 2.5               |
|             3 | -1.2500000000 | -1.2500000000 |  0.0000000000 |  -4.26562     | 1.25              |
|             4 | -1.2500000000 | -0.6250000000 | -0.6250000000 |   1.42773     | 0.625             |
|             5 | -0.9375000000 | -0.9375000000 | -0.6250000000 |  -1.43726     | 0.3125            |
|             6 | -0.7812500000 | -0.7812500000 | -0.6250000000 |  -0.0207825   | 0.15625           |
|             7 | -0.7812500000 | -0.7031250000 | -0.7031250000 |   0.69804     | 0.078125          |
|             8 | -0.7812500000 | -0.7421875000 | -0.7421875000 |   0.337449    | 0.0390625         |
|             9 | -0.7812500000 | -0.7617187500 | -0.7617187500 |   0.15806     | 0.01953125        |
|            10 | -0.7812500000 | -0.7714843750 | -0.7714843750 |   0.0685736   | 0.009765625       |
|            11 | -0.7812500000 | -0.7763671875 | -0.7763671875 |   0.0238796   | 0.0048828125      |
|            12 | -0.7812500000 | -0.7788085938 | -0.7788085938 |   0.00154459  | 0.00244140625     |
|            13 | -0.7800292969 | -0.7800292969 | -0.7788085938 |  -0.00961993  | 0.001220703125    |
|            14 | -0.7794189453 | -0.7794189453 | -0.7788085938 |  -0.00403792  | 0.0006103515625   |
|            15 | -0.7791137695 | -0.7791137695 | -0.7788085938 |  -0.00124673  | 0.00030517578125  |
|            16 | -0.7791137695 | -0.7789611816 | -0.7789611816 |   0.000148915 | 0.000152587890625 |
|            17 | -0.7790374756 | -0.7790374756 | -0.7789611816 |  -0.000548909 | 7.62939453125e-05 |



Resultados del metodo de la biseccion para la funcion x^3+3*x^2+12*x+8 del intervalo -5 a 5, con una tolerancia de 0.0001

|   Iteraciones |             a |            xm |             b |         f(xm) | Error             |
|---------------|---------------|---------------|---------------|---------------|-------------------|
|             1 | -5.0000000000 |  0.0000000000 |  0.0000000000 |   8           |                   |
|             2 | -2.5000000000 | -2.5000000000 |  0.0000000000 | -18.875       | 2.5               |
|             3 | -1.2500000000 | -1.2500000000 |  0.0000000000 |  -4.26562     | 1.25              |
|             4 | -1.2500000000 | -0.6250000000 | -0.6250000000 |   1.42773     | 0.625             |
|             5 | -0.9375000000 | -0.9375000000 | -0.6250000000 |  -1.43726     | 0.3125            |
|             6 | -0.7812500000 | -0.7812500000 | -0.6250000000 |  -0.0207825   | 0.15625           |
|             7 | -0.7812500000 | -0.7031250000 | -0.7031250000 |   0.69804     | 0.078125          |
|             8 | -0.7812500000 | -0.7421875000 | -0.7421875000 |   0.337449    | 0.0390625         |
|             9 | -0.7812500000 | -0.7617187500 | -0.7617187500 |   0.15806     | 0.01953125        |
